Date,Product,Region,Units Sold,Unit Price,Revenue,Month
2025-03-13,Widget A,North,9,81.86,736.74,2025-03
2025-06-18,Gadget X,East,36,55.37,1993.32,2025-06
2025-05-23,Widget B,South,50,61.15,3057.5,2025-05
2025-02-18,Widget A,East,41,61.08,2504.28,2025-02
2025-02-02,Widget A,South,12,77.25,927.0,2025-02
2025-02-12,Widget A,West,44,14.15,622.6,2025-02
2025-01-28,Widget B,West,3,29.64,88.92,2025-01
2025-06-07,Gadget X,South,50,25.69,1284.5,2025-06
2025-04-15,Gadget X,East,7,74.13,518.91,2025-04
2025-03-05,Gadget Y,East,15,88.79,1331.85,2025-03
2025-05-30,Gadget Y,East,45,10.13,455.85,2025-05
2025-06-25,Widget B,East,35,53.33,1866.55,2025-06
2025-03-28,Gadget Y,East,1,36.21,36.21,2025-03
2025-04-17,Widget B,West,41,50.14,2055.74,2025-04
2025-04-14,Widget A,South,26,79.82,2075.32,2025-04
2025-05-21,Widget B,West,21,77.24,1622.04,2025-05
2025-06-02,Gadget X,North,6,67.74,406.44,2025-06
2025-01-23,Widget A,North,24,32.59,782.16,2025-01
2025-01-15,Widget B,East,44,90.33,3974.52,2025-01
2025-04-23,Gadget X,East,50,65.98,3299.0,2025-04
2025-06-11,Widget B,East,20,82.87,1657.4,2025-06
2025-03-01,Gadget X,East,9,62.28,560.52,2025-03
2025-04-28,Widget A,North,37,89.32,3304.84,2025-04
2025-04-30,Widget A,West,25,47.54,1188.5,2025-04
2025-05-10,Widget B,South,2,56.24,112.48,2025-05
2025-04-18,Widget A,North,16,79.69,1275.04,2025-04
2025-01-17,Gadget Y,South,41,40.08,1643.28,2025-01
2025-02-13,Widget B,North,37,41.53,1536.61,2025-02
2025-05-30,Widget A,East,48,64.34,3088.32,2025-05
2025-02-27,Gadget X,East,46,79.34,3649.64,2025-02
2025-05-05,Widget A,South,37,94.7,3503.9,2025-05
2025-03-28,Gadget X,North,16,49.27,788.32,2025-03
2025-05-02,Gadget X,East,1,35.2,35.2,2025-05
2025-01-05,Widget B,South,11,30.33,333.63,2025-01
2025-03-16,Gadget X,North,41,37.5,1537.5,2025-03
2025-03-20,Widget B,North,47,97.91,4601.77,2025-03
2025-05-12,Gadget X,East,1,70.35,70.35,2025-05
2025-01-28,Widget B,North,27,67.54,1823.58,2025-01
2025-02-23,Gadget X,South,26,27.56,716.56,2025-02
2025-03-18,Gadget Y,East,47,61.31,2881.57,2025-03
2025-04-10,Gadget X,East,50,46.43,2321.5,2025-04
2025-03-19,Widget A,West,46,22.23,1022.58,2025-03
2025-04-07,Widget A,West,16,66.87,1069.92,2025-04
2025-03-28,Widget A,West,15,81.19,1217.85,2025-03
2025-06-08,Gadget X,South,29,98.28,2850.12,2025-06
2025-02-23,Widget A,South,10,68.12,681.2,2025-02
2025-04-01,Gadget Y,South,12,50.09,601.08,2025-04
2025-04-05,Widget B,North,13,48.53,630.89,2025-04
2025-04-01,Widget A,South,5,20.24,101.2,2025-04
2025-03-28,Widget A,East,34,28.95,984.3,2025-03
2025-06-04,Widget B,North,45,84.6,3807.0,2025-06
2025-06-26,Gadget Y,North,28,55.09,1542.52,2025-06
2025-02-24,Widget A,West,17,62.34,1059.78,2025-02
2025-02-25,Gadget X,South,10,55.98,559.8,2025-02
2025-03-01,Widget A,East,49,89.98,4409.02,2025-03
2025-02-05,Widget A,West,42,82.55,3467.1,2025-02
2025-06-09,Gadget Y,East,4,92.01,368.04,2025-06
2025-05-19,Widget B,North,41,59.15,2425.15,2025-05
2025-01-22,Widget A,West,14,50.84,711.76,2025-01
2025-04-18,Gadget Y,East,39,36.33,1416.87,2025-04
2025-05-25,Gadget Y,North,39,45.05,1756.95,2025-05
2025-03-08,Widget B,South,41,97.51,3997.91,2025-03
2025-05-05,Widget A,East,6,43.47,260.82,2025-05
2025-04-04,Widget A,East,13,92.44,1201.72,2025-04
2025-03-05,Widget B,South,46,70.0,3220.0,2025-03
2025-01-26,Widget B,West,47,27.94,1313.18,2025-01
2025-03-20,Widget A,South,6,19.31,115.86,2025-03
2025-03-19,Gadget Y,South,17,75.42,1282.14,2025-03
2025-02-10,Widget B,North,31,49.88,1546.28,2025-02
2025-01-22,Gadget Y,North,28,25.68,719.04,2025-01
2025-01-30,Widget B,West,38,62.41,2371.58,2025-01
2025-04-07,Widget A,South,24,21.59,518.16,2025-04
2025-06-12,Gadget Y,South,42,87.89,3691.38,2025-06
2025-03-17,Gadget X,West,26,92.03,2392.78,2025-03
2025-06-08,Gadget Y,West,45,28.03,1261.35,2025-06
2025-03-29,Widget A,North,18,19.82,356.76,2025-03
2025-07-03,Widget A,West,7,75.84,530.88,2025-07
2025-01-20,Gadget X,North,41,41.7,1709.7,2025-01
2025-03-05,Widget B,West,2,14.08,28.16,2025-03
2025-02-24,Widget B,West,23,59.45,1367.35,2025-02
2025-03-12,Gadget X,North,12,48.24,578.88,2025-03
2025-05-10,Gadget X,West,42,35.83,1504.86,2025-05
2025-04-29,Gadget Y,North,10,64.38,643.8,2025-04
2025-06-26,Gadget Y,West,20,89.02,1780.4,2025-06
2025-01-17,Gadget Y,North,29,85.33,2474.57,2025-01
2025-01-27,Widget A,South,26,92.63,2408.38,2025-01
2025-02-17,Gadget Y,East,45,59.35,2670.75,2025-02
2025-05-01,Gadget Y,West,4,95.96,383.84,2025-05
2025-03-11,Gadget X,South,1,80.22,80.22,2025-03
2025-05-09,Gadget Y,South,31,82.13,2546.03,2025-05
2025-07-01,Widget A,East,45,55.8,2511.0,2025-07
2025-06-12,Gadget X,East,33,99.83,3294.39,2025-06
2025-03-24,Gadget Y,South,14,34.94,489.16,2025-03
2025-05-20,Gadget X,East,25,24.03,600.75,2025-05
2025-03-21,Widget A,North,7,78.11,546.77,2025-03
2025-06-23,Widget B,West,27,44.48,1200.96,2025-06
2025-04-14,Widget A,West,46,90.35,4156.1,2025-04
2025-04-21,Gadget X,East,42,77.5,3255.0,2025-04
2025-06-05,Widget B,North,32,16.6,531.2,2025-06
2025-05-15,Gadget X,West,13,59.85,778.05,2025-05
2025-04-05,Gadget Y,West,3,41.1,123.3,2025-04
2025-04-29,Widget B,North,2,96.58,193.16,2025-04
2025-02-27,Gadget Y,West,5,98.99,494.95,2025-02
2025-04-02,Widget A,North,36,40.27,1449.72,2025-04
2025-03-04,Widget B,East,47,65.18,3063.46,2025-03
2025-06-18,Widget B,North,6,94.89,569.34,2025-06
2025-05-02,Widget B,West,22,97.71,2149.62,2025-05
2025-03-24,Widget A,South,45,58.46,2630.7,2025-03
2025-04-20,Gadget Y,South,27,59.81,1614.87,2025-04
2025-06-05,Gadget Y,North,9,73.06,657.54,2025-06
2025-05-22,Widget A,North,40,14.35,574.0,2025-05
2025-01-05,Widget B,West,6,87.46,524.76,2025-01
2025-05-12,Widget B,North,1,68.52,68.52,2025-05
2025-03-07,Widget A,West,50,39.89,1994.5,2025-03
2025-05-18,Widget B,North,16,59.51,952.16,2025-05
2025-04-16,Gadget Y,North,20,14.16,283.2,2025-04
2025-04-13,Gadget X,West,42,16.06,674.52,2025-04
2025-04-03,Gadget Y,West,6,10.43,62.58,2025-04
2025-03-27,Widget B,East,7,70.12,490.84,2025-03
2025-06-07,Gadget Y,East,10,16.34,163.4,2025-06
2025-01-04,Gadget Y,East,13,54.58,709.54,2025-01
2025-07-02,Gadget X,North,9,24.78,223.02,2025-07
2025-06-30,Gadget X,East,26,28.72,746.72,2025-06
2025-02-23,Gadget Y,South,44,76.73,3376.12,2025-02
2025-05-06,Gadget Y,North,11,49.66,546.26,2025-05
2025-01-26,Widget B,North,24,36.59,878.16,2025-01
2025-04-16,Widget A,West,21,21.92,460.32,2025-04
2025-01-17,Widget B,West,4,47.98,191.92,2025-01
2025-06-22,Widget B,West,41,16.03,657.23,2025-06
2025-04-25,Gadget X,West,28,81.9,2293.2,2025-04
2025-06-06,Widget A,East,1,90.88,90.88,2025-06
2025-04-05,Gadget X,South,25,35.86,896.5,2025-04
2025-06-24,Gadget Y,North,31,22.5,697.5,2025-06
2025-05-16,Widget B,West,10,27.12,271.2,2025-05
2025-03-05,Gadget Y,West,11,89.1,980.1,2025-03
2025-04-23,Gadget X,East,3,29.29,87.87,2025-04
2025-03-28,Widget A,South,10,96.45,964.5,2025-03
2025-04-25,Gadget Y,East,8,38.03,304.24,2025-04
2025-01-12,Widget A,North,6,94.37,566.22,2025-01
2025-03-07,Gadget X,East,25,90.6,2265.0,2025-03
2025-04-25,Gadget X,South,1,63.35,63.35,2025-04
2025-04-04,Widget A,West,37,89.95,3328.15,2025-04
2025-03-31,Widget A,North,12,21.71,260.52,2025-03
2025-02-11,Widget A,North,8,39.39,315.12,2025-02
2025-04-28,Widget B,South,14,59.12,827.68,2025-04
2025-01-21,Gadget Y,East,20,45.35,907.0,2025-01
2025-02-11,Widget A,South,42,22.66,951.72,2025-02
2025-05-21,Widget A,South,28,76.1,2130.8,2025-05
2025-04-11,Gadget X,North,49,64.87,3178.63,2025-04
2025-06-21,Gadget X,North,9,47.51,427.59,2025-06
2025-06-26,Gadget Y,East,4,41.92,167.68,2025-06
2025-06-04,Widget B,South,34,76.39,2597.26,2025-06
2025-06-01,Gadget X,West,28,70.95,1986.6,2025-06
2025-01-28,Widget A,East,32,86.14,2756.48,2025-01
2025-02-22,Widget B,East,2,16.33,32.66,2025-02
2025-01-17,Widget A,East,44,49.62,2183.28,2025-01
2025-03-28,Widget B,West,19,55.84,1060.96,2025-03
2025-05-20,Widget A,West,26,30.97,805.22,2025-05
2025-03-08,Gadget X,East,31,92.65,2872.15,2025-03
2025-05-24,Widget B,North,23,67.41,1550.43,2025-05
2025-02-28,Gadget Y,North,32,59.05,1889.6,2025-02
2025-04-13,Gadget Y,West,36,34.01,1224.36,2025-04
2025-01-28,Widget A,North,16,94.82,1517.12,2025-01
2025-01-26,Widget B,East,33,84.12,2775.96,2025-01
2025-06-19,Widget B,West,49,89.3,4375.7,2025-06
2025-03-01,Gadget Y,North,32,51.98,1663.36,2025-03
2025-06-10,Widget A,West,35,36.4,1274.0,2025-06
2025-06-20,Widget B,West,1,19.95,19.95,2025-06
2025-05-22,Widget A,East,39,20.99,818.61,2025-05
2025-01-15,Gadget X,North,29,52.2,1513.8,2025-01
2025-01-09,Widget A,West,1,45.81,45.81,2025-01
2025-02-22,Widget A,North,30,29.75,892.5,2025-02
2025-02-13,Widget B,South,15,88.68,1330.2,2025-02
2025-05-10,Widget A,West,16,11.04,176.64,2025-05
2025-05-21,Gadget X,West,44,47.89,2107.16,2025-05
2025-05-11,Gadget X,South,41,35.16,1441.56,2025-05
2025-04-23,Widget B,West,19,19.92,378.48,2025-04
2025-03-19,Gadget X,West,2,85.38,170.76,2025-03
2025-05-15,Widget A,North,43,18.44,792.92,2025-05
2025-05-19,Gadget Y,North,47,40.54,1905.38,2025-05
2025-04-26,Widget A,North,43,32.31,1389.33,2025-04
2025-03-01,Widget B,South,37,22.82,844.34,2025-03
2025-06-30,Gadget X,West,46,67.85,3121.1,2025-06
2025-04-08,Widget B,West,15,63.4,951.0,2025-04
2025-06-25,Gadget X,South,27,58.86,1589.22,2025-06
2025-03-17,Widget A,West,50,64.86,3243.0,2025-03
2025-05-10,Widget B,West,40,10.85,434.0,2025-05
2025-06-13,Gadget Y,North,7,18.39,128.73,2025-06
2025-04-21,Widget A,West,39,48.24,1881.36,2025-04
2025-03-12,Widget B,East,3,48.84,146.52,2025-03
2025-06-08,Gadget Y,West,1,72.45,72.45,2025-06
2025-02-12,Gadget Y,North,45,66.69,3001.05,2025-02
2025-03-17,Gadget X,North,17,55.58,944.86,2025-03
2025-05-26,Gadget Y,South,4,29.28,117.12,2025-05
2025-03-17,Widget A,East,31,14.44,447.64,2025-03
2025-04-15,Gadget X,North,7,78.2,547.4,2025-04
2025-05-12,Gadget Y,West,9,37.2,334.8,2025-05
2025-04-26,Gadget X,North,26,95.61,2485.86,2025-04
2025-06-01,Gadget X,East,42,97.58,4098.36,2025-06
2025-04-29,Gadget Y,North,9,96.72,870.48,2025-04
